,videoId,title,description,thumbnail,addedAt,viewCount,likeCount,commentCount
0,Zg4JivSYj9w,They Made This In 60 Crores 😱 | Mirai Movie Review & Analysis | Teja Sajja,"One of the most talked about movies is finally here in the form of #miraimovie starring #tejasajja and #manojmanchu in lead roles. The #telugu movie also features #shriyasaran and #jagapathibabu in supporting roles and is being distributed on a pan indian level! The question is, does it really have what it takes to become a major hit. I hope you like the video on:-

Mirai Movie Review & Analysis | Teja Sajja | Manoj Manchu | Shriya Saran | Jagapathi Babu | Telugu Movie Review | Superhero Movie 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/Zg4JivSYj9w/sddefault.jpg,2025-09-12T09:03:14Z,157623,4052,630
1,cLzEdXEm9Nw,The Most Offensive Bollywood Movie Portrayals,"I have often thought about #bollywood movie representation of communities and the adverse impact it may have of their perception. When you look at #janhvikapoor in #paramsundari , #ajaydevgan in #sonofsardaar2 and the various #bhoolbhulaiya movies that have portrayed Bengalis, it really begs the question, is it laziness or just ignorance? I hope you like the video on:-

The Most Offensive Bollywood Movie Portrayals | Top 5 Worst Cases Of Representation In Bollywood Movies

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/cLzEdXEm9Nw/sddefault.jpg,2025-09-10T09:05:36Z,170494,5776,899
2,Qkuxtc42zLU,Salman Must Hate This! | Madharaasi Movie Review & Analysis | Sivakarthikeyan | Vidyut Jammwal,"The much awaited Tamil film is finally here in the form of #madharaasi starring #sivakarthikeyan #vidyutjammwal #rukminivasanth directed by #armurugadoss . The movie has been largely anticipated post the failure of #sikandar starring #salmankhan , begging the question, does ARM still have what it takes? I hope you like the video on:-

Madharaasi Movie Review & Analysis | Sivakarthikeyan | Vidyut Jammwal | Rukmini Vasanth | AR Murugadoss | Tamil Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/Qkuxtc42zLU/sddefault.jpg,2025-09-08T06:27:48Z,197073,5212,512
3,rjoL1JTbADk,The Bengal Files Movie Review & Analysis | Vivek Agnihotri,"The much awaited #bengalfiles is finally here. Directed by #vivekagnihotri , the #bollywood film focusses on the impact of Direct Action Day and specific manner in which a community was targeted. I hope you like the video on:-

The Bengal Files Movie Review & Analysis | Vivek Agnihotri | Darshan Kumar | Pallavi Joshi | Anupam Kher | Mithun Chakraborty | Saswata Chatterjee | Bollywood Movie Review 

The background music has been taken from Pixabay.com 
Title: Night Tune
Artist: XtremeFreddy

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood


What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/rjoL1JTbADk/sddefault.jpg,2025-09-06T03:44:07Z,233953,9065,1921
4,_Dq5p-PKIio,Baaghi 4 Movie Review & Analysis,"The much awaited #baaghi4 is here! The movie starring #tigershroff #sanjaydutt #harnaazsandhu and #sonambajwa has been in the news for quite some time but is this #bollywood franchise getting tiring or is it only getting better from strength to strength? I hope you like the video on:-

Baaghi 4 Movie Review & Analysis | Tiger Shroff | Sanjay Dutt | Harnaaz Sandhu | Sonam Bajwa | Bollywood Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/_Dq5p-PKIio/sddefault.jpg,2025-09-05T08:37:28Z,307603,9635,1315
5,YUHHsOwQLGg,6 Bollywood Films That Were Doomed From The Start | What Went Wrong?,"It is absolutely impossible to mount a #bollywood project together but what happens when everything goes wrong? Through this video I wanted to cover Bollywood movies that seemed to be doomed from the onset, these include #johnabraham in the recently released Tehran, #arjunkapoor and Bhumi Pednekar movie titled The Lady Killer that released for free on Youtube and two films starring #srk and #akshaykumar respectively that simply seemed to want to cash in on their popularity! I hope you like the video on:-

Incomplete Bollywood Movies That Were Forced To Release | Bollywood Productions From Hell | What Went Wrong? | Shahrukh Khan | Arjun Kapoor | Akshay Kumar | Budget Failures & Flops

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/YUHHsOwQLGg/sddefault.jpg,2025-09-04T05:31:01Z,198959,5109,471
6,6NoBWfi146s,15 Bollywood Movie Sequels That Will Never Happen,"Every #bollywood production company wants to have a successful franchise but every film is not destined to become one. Through this video, I wanted to focus on many movies that were promised to become sequels but we still have no idea if they ever will. This includes the #ranbirkapoor and #aliabhatt #brahmastra , the #ajaydevgan #bholaa , the #johnabraham Attack , #salmankhan in Chulbul Singham and #tigershroff attempting a sequel of Ganapath among many others. I hope you like the video on:-

15 Bollywood Movie Sequels That Will Never Happen | Cancelled Bollywood Movies | Brahmastra | Bholaa | Thugs Of Hindostan | Detective Byomkesh Bakshy | Jagga Jasoos | Flops At The Box Office 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/6NoBWfi146s/sddefault.jpg,2025-08-31T06:57:57Z,394379,10581,1599
7,o-AlDPWP1po,Param Sundari Movie Review & Analysis | Sidharth Malhotra | Janhvi Kapoor,"The much advertised and marketed film #paramsundari is finally here starring #sidharthmalhotra and #janhvikapoor in lead roles. The movie produced by Maddock Films is the big offering this weekend by #bollywood at the movies! Does it deliver though? I hope you like the video on:-

Param Sundari Movie Review & Analysis | Sidharth Malhotra | Janhvi Kapoor | Bollywood Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/o-AlDPWP1po/sddefault.jpg,2025-08-29T11:30:29Z,502260,11182,1803
8,5Lpf3rWxLDo,Lokah Movie Review & Analysis | Kalyani Priyadarshan | Naslen,"I have been really looking forward to #lokah starring #kalyani #naslen : A high concept #malayalam movie that is being produced by #dulquersalmaan . The movie directed by Dominic Arun has started with a bang this Onam and it just tells you the capabilities we have with our stories if our focus is on the right things. I hope you like the video on:-

Lokah Movie Review & Analysis | Kalyani Priyadarshan | Naslen | Dominic Arun | Dulquer Salmaan | Malayalam Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/5Lpf3rWxLDo/sddefault.jpg,2025-08-29T03:27:28Z,308936,8750,924
9,cuu-gneITBs,When Bollywood Directors & Stars Clash On Set,"Oh the amount of money I would pay to be on a #bollywood set and capture all kinds of drama that unfold. Through this video I wanted to focus on instances where stars clash with their directors and the creative vision of the film, from #salmankhan dealing with #armurugadoss in #sikandar , #akshaykumar #farahkhan and Shirish Kundar on Joker, #hrithikroshan and what happened with Kites and the case of #ramgopalvarma and #sanjaydutt : There is a lot to cover and I hope you like the video on:-

8 Times Bollywood Directors & Stars Clashed On Set | Akshay Kumar | Salman Khan | Hrithik Roshan | Controversy & Conflict 

The background music has been taken from Pixabay.com 
Title: Night Tune
Artist: XtremeFreddy

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood


What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/cuu-gneITBs/sddefault.jpg,2025-08-28T07:37:49Z,308410,6474,415
